map,env,seed,metric,points,last_step,final_value,normalized_auc,steps_to_50,steps_to_80,steps_to_95,run_path
2m_vs_1z,melee_range_control_ab,42,test_battle_won_mean,203,2047664,1.0,0.9609663730183654,71217.0,121939.0,132016.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_ab__map=2m_vs_1z__seed=42__timestamp=20260803_034916
2m_vs_1z,melee_range_control_ab,43,test_battle_won_mean,203,2047618,1.0,0.9585360824918505,70902.0,131623.0,151973.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_ab__map=2m_vs_1z__seed=43__timestamp=20260803_110337
2m_vs_1z,melee_range_control_ap,42,test_battle_won_mean,203,2045935,1.0,0.9583697042908259,70769.0,101206.0,141671.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_ap__map=2m_vs_1z__seed=42__timestamp=20260803_044358
2m_vs_1z,melee_range_control_ap,43,test_battle_won_mean,103,1033366,1.0,0.9225032661795367,81252.0,132091.0,132091.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_ap__map=2m_vs_1z__seed=43__timestamp=20260803_115656
2m_vs_1z,melee_range_control_as,42,test_battle_won_mean,203,2045766,1.0,0.9633450293215995,71074.0,71074.0,141643.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_as__map=2m_vs_1z__seed=42__timestamp=20260803_091536
2m_vs_1z,melee_range_control_asp,42,test_battle_won_mean,203,2044305,1.0,0.951807034043823,111672.0,111672.0,162272.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_asp__map=2m_vs_1z__seed=42__timestamp=20260803_053842
2m_vs_1z,melee_range_control_pb,42,test_battle_won_mean,203,2046833,1.0,0.9521252451557612,80926.0,111425.0,151966.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_pb__map=2m_vs_1z__seed=42__timestamp=20260803_063338
2m_vs_1z,melee_range_control_sb,42,test_battle_won_mean,203,2046022,1.0,0.9580397736854223,81039.0,111331.0,141651.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_sb__map=2m_vs_1z__seed=42__timestamp=20260803_072812
2m_vs_1z,melee_range_control_sp,42,test_battle_won_mean,203,2045038,1.0,0.9618984331101889,71066.0,121755.0,121755.0,results/full_3a0dc33_sacred_fix/tb_logs/env=melee_range_control_sp__map=2m_vs_1z__seed=42__timestamp=20260803_082144
2m_vs_1z,sc2,42,test_battle_won_mean,203,2047920,1.0,0.9520981234846135,70912.0,70912.0,172462.0,results/full_3a0dc33_sacred_fix/tb_logs/env=sc2__map=2m_vs_1z__seed=42__timestamp=20260803_101033
